Band:,Album:,Song:,Lyric:,Location:,Coordinates,,X,Y
Eagles,On the Border (1974),Midnight Flyer,"""Maybe I'll go to <b><u>Santa Fe</b></u>, maybe San Antone""",Santa Fe,"[ 35.7095109475156, -105.93909469749914 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Midnight Flyer"", ""lyric"": ""Maybe I'll go to <b><u>Santa Fe</b></u>, maybe San Antone"", ""artist"": ""Eagles"", ""year"": ""1974"", ""album"": ""On the Border"", ""count"": 10, ""pic"": ""<img src='EaglesOnTheBorder.png.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 35.7095109475156, -105.93909469749914 ] } },",35.70951095,-105.9390947
Eagles,On the Border (1974),Midnight Flyer,"""Maybe I'll go to Santa Fe, maybe <b><u>San Antone</b></u>""",San Antonio,"[ 29.578865820502255, -98.52268395973864 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Midnight Flyer"", ""lyric"": ""Maybe I'll go to Santa Fe, maybe <b><u>San Antone</b></u>"", ""artist"": ""Eagles"", ""year"": ""1974"", ""album"": ""On the Border"", ""count"": 10, ""pic"": ""<img src='EaglesOnTheBorder.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.578865820502255, -98.52268395973864 ] } },",29.57886582,-98.52268396
Eagles,One of These Nights (1975),Hollywood Waltz,"""<b><u>Southern California</b></u> will see one more day""",Southern California,"[ 34.63938378546761, -117.34941621610362 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Hollywood Waltz"", ""lyric"": ""<b><u>Southern California</b></u> will see one more day"", ""artist"": ""Eagles"", ""year"": ""1975"", ""album"": ""One of These Nights"", ""count"": 10, ""pic"": ""<img src='Eagles_OneOfTheseNights.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.63938378546761, -117.34941621610362 ] } },",34.63938379,-117.3494162
Eagles,Hotel California (1976),Hotel California,"""I thought I heard them say 'Welcome to the <b><u>Hotel California</b></u>'""",Todos Santos,"[ 23.454859051570068, -110.23301922601024 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Hotel California"", ""lyric"": ""I thought I heard them say 'Welcome to the <b><u>Hotel California</b></u>'"", ""artist"": ""Eagles"", ""year"": ""1976"", ""album"": ""Hotel California"", ""count"": 10, ""pic"": ""<img src='Eagles_HotelCalifornia.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 23.454859051570068, -110.23301922601024 ] } },",23.45485905,-110.2330192
Eagles,Hotel California (1976),The Last Resort,"""She came from <b><u>Providence</b></u>, one in <b><u>Rhode Island</b></u>""",Providence,"[ 41.81941537573564, -71.41500429503814 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Last Resort"", ""lyric"": ""She came from <b><u>Providence</b></u>, one in <b><u>Rhode Island</b></u>"", ""artist"": ""Eagles"", ""year"": ""1976"", ""album"": ""Hotel California"", ""count"": 10, ""pic"": ""<Eagles_HotelCalifornia.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.81941537573564, -71.41500429503814 ] } },",41.81941538,-71.4150043
Eagles,Hotel California (1976),The Last Resort,"""Through the canyons of the coast to the <b><u>Malibu</b></u>""",Malibu,"[ 34.02548943334403, -118.81395816736334 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Last Resort"", ""lyric"": ""Through the canyons of the coast to the <b><u>Malibu</b></u>"", ""artist"": ""Eagles"", ""year"": ""1976"", ""album"": ""Hotel California"", ""count"": 10, ""pic"": ""<img src='Eagles_HotelCalifornia.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.02548943334403, -118.81395816736334 ] } },",34.02548943,-118.8139582
Eagles,Hotel California (1976),The Last Resort,"""You can leave it all behind, sail to <b><u>Lahaina</b></u>",Lahaina,"[ 20.886894335994707, -156.67971698564403 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Last Resort"", ""lyric"": ""You can leave it all behind, sail to <b><u>Lahaina</b></u>"", ""artist"": ""Eagles"", ""year"": ""1976"", ""album"": ""Hotel California"", ""count"": 10, ""pic"": ""<img src='Eagles_HotelCalifornia.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 20.886894335994707, -156.67971698564403 ] } },",20.88689434,-156.679717
Eagles,The Long Run (1979),The Long Run,"""'Cause all the debutants in <b><u>Houston</b></u>, baby""",Houston,"[ 29.80723652683017, -95.37251986544297 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Long Run"", ""lyric"": ""'Cause all the debutants in <b><u>Houston</b></u>, baby"", ""artist"": ""Eagles"", ""year"": ""1979"", ""album"": ""The Long Run"", ""count"": 10, ""pic"": ""<img src='Eagles_TheLongRun.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.80723652683017, -95.37251986544297 ] } },",29.80723653,-95.37251987
Eagles,The Long Run (1979),The Disco Strangler,"""He's the melody without a cure and <b><u>Rome</b></u> is burning, but that's all right""",Rome,"[ 41.88133096364913, 12.48654488244034 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Disco Strangler"", ""lyric"": ""He's the melody without a cure and <b><u>Rome</b></u> is burning, but that's all right"", ""artist"": ""Eagles"", ""year"": ""1979"", ""album"": ""The Long Run"", ""count"": 10, ""pic"": ""<img src='Eagles_TheLongRun.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.88133096364913, 12.48654488244034 ] } },",41.88133096,12.48654488
Eagles,Long Road Out of Eden (2007),Long Road Out of Eden,"""Been down the road to <b><u>Damascus</b></u>, the road to Mandalay""",Damascus,"[ 33.50973834046849, 36.29113114286267 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Long Road Out of Eden"", ""lyric"": ""Been down the road to <b><u>Damascus</b></u>, the road to Mandalay"", ""artist"": ""Eagles"", ""year"": ""2007"", ""album"": ""Long Road Out of Eden"", ""count"": 10, ""pic"": ""<img src='Eagles_LongRoadOutOfEden.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 33.50973834046849, 36.29113114286267 ] } },",33.50973834,36.29113114
Eagles,Long Road Out of Eden (2007),Long Road Out of Eden,"""Been down the road to Damascus, the road to <b><u>Mandalay</b></u>""",Mandalay,"[ 21.946389927393465, 96.08886595163276 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Long Road Out of Eden"", ""lyric"": ""Been down the road to Damascus, the road to <b><u>Mandalay</b></u>"", ""artist"": ""Eagles"", ""year"": ""2007"", ""album"": ""Long Road Out of Eden"", ""count"": 10, ""pic"": ""<img src='Eagles_LongRoadOutOfEden.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 21.946389927393465, 96.08886595163276 ] } },",21.94638993,96.08886595
Eagles,Long Road Out of Eden (2007),Business As Usual,"""We got the prettiest <b><u>White House</b></u> that money can buy""",The White House,"[ 38.8975176231444, -77.03654053276811 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Business As Usual"", ""lyric"": ""We got the prettiest <b><u>White House</b></u> that money can buy"", ""artist"": ""Eagles"", ""year"": ""2007"", ""album"": ""Long Road Out of Eden"", ""count"": 10, ""pic"": ""<img src='Eagles_LongRoadOutOfEden.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 38.8975176231444, -77.03654053276811 ] } },",38.89751762,-77.03654053
Eagles,Long Road Out of Eden (2007),Business As Usual,"""Boy, you can't go surfing in <b><u>Century City</b></u>""",Century City,"[ 34.055493396644486, -118.41537070573914 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Business As Usual"", ""lyric"": ""Boy, you can't go surfing in <b><u>Century City</b></u>"", ""artist"": ""Eagles"", ""year"": ""2007"", ""album"": ""Long Road Out of Eden"", ""count"": 10, ""pic"": ""<img src='Eagles_LongRoadOutOfEden.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.055493396644486, -118.41537070573914 ] } },",34.0554934,-118.4153707
